DeviceName,Timestamp,Timer,IsSuccess,DistanceToNext,DistanceToPrevious,GroupName
ZZZHZ,2024-12-05 18:31:29,0,False,30.64401,-1,Experiment group 1
ZZZHZ,2024-12-05 18:31:37,0.7965891,True,0.4439163,-1,Experiment group 1
ZZZHZ,2024-12-05 18:31:39,2.63803,True,17.64384,0.1561546,Experiment group 1
ZZZHZ,2024-12-05 18:31:41,4.439534,True,22.44404,0.3559647,Experiment group 1
ZZZHZ,2024-12-05 18:31:43,6.667443,True,0.04438019,22.75562,Experiment group 1
ZZZHZ,2024-12-05 18:31:45,8.469807,True,19.64465,0.1553421,Experiment group 1
ZZZHZ,2024-12-05 18:31:47,10.42793,True,0.04495239,19.75504,Experiment group 1
ZZZHZ,2024-12-05 18:31:48,12.15911,True,0.6452179,17.15479,Experiment group 1
ZZZHZ,2024-12-05 18:31:50,13.98327,True,0.04550171,17.7545,Experiment group 1
ZZZHZ,2024-12-05 18:31:52,15.92975,True,0.4458008,19.3542,Experiment group 1
ZZZHZ,2024-12-05 18:31:52,15.92975,False,0.4458008,19.3542,Experiment group 1
